brand,source,title,description,content,published_at,fetched_at
Amazon India,The Times of India,"“There's no beef,"": Cal Raleigh responds after Randy Arozarena unleashes four-language rant after WBC snub","A viral World Baseball Classic moment between teammates Cal Raleigh and Randy Arozarena, initially perceived as tension, has sparked debate. While Raleigh downplayed the incident, calling Arozarena his ""brother,"" Arozarena responded with a fiery, multi-lingua…","<ul><li>News</li>
<li>Sports News</li>
<li>There's no beef,"": Cal Raleigh responds after Randy Arozarena unleashes four-language rant after WBC snub</li></ul>
Follow Us On Social Media
Why is Ira… [+1780 chars]",2026-03-11T14:19:36Z,2026-03-12 21:01:20.861206
Amazon India,The Times of India,Why is Iran national football team boycotting the FIFA World Cup 2026 despite the “welcome” from US president and Gianni Infantino,Uncertainty had emerged over whether the Iran national football team will take part in the FIFA World Cup 2026 after a major political crisis in the Middle East. Iran’s sports minister has now announced that the country will not be able to participate in the …,"<ul><li>News</li>
<li>Sports News</li>
<li>Why is Iran national football team boycotting the FIFA World Cup 2026 despite the welcome from US president and Gianni Infantino</li></ul>
Follow Us On S… [+1803 chars]",2026-03-11T14:17:57Z,2026-03-12 21:01:20.861206
Amazon India,The Times of India,"Induction cooktops, electric kettles sales surge amid LPG supply concerns","Tata Group's Croma said it has observed a threefold jump in demand for induction cooktops over the past few days, while Stovekraft Ltd, the company behind the popular kitchen appliance brand Pigeon, noted that its average weekly online sales have jumped four …","New Delhi: Sales of induction cooktops and electric kettles have surged in the wake of cooking gas supply concerns due to the war in West Asia, according to industry players.Tata Group's Croma said i… [+3226 chars]",2026-03-11T14:14:15Z,2026-03-12 21:01:20.861206
Amazon India,The Times of India,"Video: Child hangs and swings inside Mumbai Metro coach; authorities issue warning, call it a punishable offence","A video circulating online shows a young boy performing dangerous stunts inside a moving Mumbai Metro train, swinging from overhead bars and handles. The incident has prompted the metro authority to appeal to parents, emphasizing the risks to children and oth…","<ul><li>News</li>
<li>lifestyle</li>
<li>trending</li>
<li>Video: Child hangs and swings inside Mumbai Metro coach; authorities issue warning, call it a punishable offence</li></ul>
Follow Us On … [+1804 chars]",2026-03-11T13:06:04Z,2026-03-12 21:01:20.861206
Amazon India,What's on Netflix,Jack Black and Paul Rudd Comedy ‘Anaconda’ Sets Netflix Streaming Premiere,"The latest Anaconda brings a meta-twist to the nearly 30-year-old franchise. Following its Christmas theatrical run, we finally have a streaming date: while international availability varies, US subscribers can catch it on Netflix in late...","Picture Credit: Sony Pictures
The latest Anaconda brings a meta-twist to the nearly 30-year-old franchise. Following its Christmas theatrical run, we finally have a streaming date: while internation… [+3950 chars]",2026-03-11T12:20:53Z,2026-03-12 21:01:20.861206
Amazon India,Moneycontrol,Indane LPG refill booking system crashes after calls surge 8-10 times,"In a communication to dealers accessed by Moneycontrol, Indane said an unprecedented spike in booking calls has put the system under heavy load.","Indanes LPG refill booking system across the country has crashed after call volumes surged to 8-10 times the usual levels, sources told Moneycontrol.
In an internal communication to dealers, accesse… [+3078 chars]",2026-03-11T12:15:14Z,2026-03-12 21:01:20.861206
Myntra,BusinessLine,Malaika Arora launches lifestyle accessories brand Maejoy,"The brand has co-created with Exceed Entertainment and Myntra Jabong India Private Limited (MJIPL), the B2B wholesale entity of Myntra","Malaika Arora has launched lifestyle accessories brand co-created in collaboration with Exceed Entertainment and Myntra Jabong India Private Limited (MJIPL), the B2B wholesale entity of Myntra. The b… [+1837 chars]",2026-03-11T14:25:09Z,2026-03-12 21:01:21.262020
Myntra,The Times of India,Malaika Arora launches accessories brand ‘Maejoy’ in collaboration with Myntra,"Actress Malaika Arora has launched her lifestyle accessories brand, Maejoy, in collaboration with Exceed Entertainment and Myntra Jabong. The brand debuts with over 250 styles, including handbags and lab-grown diamond jewelry, aiming to offer accessible yet e…","Indian actress Malaika Arora on Wednesday launched a lifestyle accessories brand 'Maejoy' in collaboration with Exceed Entertainment and Myntra Jabong India Private Limited (MJIPL), the B2B wholesale… [+2434 chars]",2026-03-11T12:21:42Z,2026-03-12 21:01:21.262020
Myntra,The Times of India,Walmart-backed Flipkart to invite banks for IPO pitch in April,"Flipkart IPO: Flipkart is moving towards a public listing. Banks will be invited to pitch for work on its potential initial public offering as soon as next month. The e-commerce giant, backed by Walmart, is gauging investor appetite for a listing in Mumbai. A…","Online retailer Flipkart Internet Pvt is set to start the formal process for banks to pitch for work on its potential initial public offering as soon as next month, according to people familiar with … [+1780 chars]",2026-03-11T07:36:07Z,2026-03-12 21:01:21.262020
Myntra,The Times of India,Walmart-backed Flipkart to invite banks for IPO pitch in April,"Flipkart IPO: Flipkart is moving towards a public listing. Banks will be invited to pitch for work on its potential initial public offering as soon as next month. The e-commerce giant, backed by Walmart, is gauging investor appetite for a listing in Mumbai. A…","Online retailer Flipkart Internet Pvt is set to start the formal process for banks to pitch for work on its potential initial public offering as soon as next month, according to people familiar with … [+1775 chars]",2026-03-11T07:36:07Z,2026-03-12 21:01:21.262020
Myntra,The Times of India,IPO-bound Flipkart shifts domicile to India,"IPO-bound Flipkart has shifted its domicile to India, having secured government nod for an internal restructuring that now makes Flipkart Internet the holding entity of the Group.","IPO-bound Flipkart has shifted its domicile to India, having secured government nod for an internal restructuring that now makes Flipkart Internet the holding entity of the Group.The Walmart-backed e… [+3283 chars]",2026-03-09T14:31:37Z,2026-03-12 21:01:21.262020
Myntra,The Times of India,Flipkart flips back to India; Airtel's data centre play,"As it readies to hit the bourses, Flipkart has moved its domicile back from Singapore to India. This and more in today's ETtech Top 5.","As it prepares to go public, Flipkart has redomiciled from Singapore to India. This and more in today's ETtech Top 5.Also in the letter: Cars24 top exec quitsUS policy to impact H-1B applicationsTenc… [+7574 chars]",2026-03-09T13:26:13Z,2026-03-12 21:01:21.262020
Myntra,BusinessLine,"Flipkart completes reverse flip to India, clears path for domestic IPO","Flipkart's reverse flip to India clears the way for a domestic IPO, marking a significant milestone for the e-commerce giant.","E-commerce marketplace Flipkart has completed its reverse flip, shifting its domicile back to India from Singapore, paving the way for the Walmart-owned company to move ahead with its plans to list o… [+2682 chars]",2026-03-09T13:05:08Z,2026-03-12 21:01:21.262020
Myntra,BusinessLine,"Swiggy, HDFC Bank launch two new co-branded credit cards with up to ₹48,000 annual savings","Swiggy and HDFC Bank launch co-branded credit cards offering up to ₹48,000 annual savings, available via their digital platforms.",Swiggy and HDFC Bank on March 7 launched two new co-branded credit cards the Swiggy BLCK HDFC Bank Credit Card and the Swiggy Ornge HDFC Bank Credit Card expanding a partnership that first began in 2… [+1679 chars],2026-03-09T07:28:24Z,2026-03-12 21:01:21.262020
Myntra,BusinessLine,Flipkart trims workforce by up to 300 employees amid restructuring push,Flipkart cuts 250–300 jobs after annual performance review as the Walmart-backed e-commerce giant strengthens leadership and prepares for a potential IPO.,"E-commerce major Flipkart has trimmed its workforce by 250-300 employees following its annual performance review, sources familiar with the matter said on Friday.
The job cuts, which span multiple d… [+2177 chars]",2026-03-06T14:21:49Z,2026-03-12 21:01:21.262020
Myntra,BusinessLine,Men power next wave of growth in online beauty and grooming,Executives say the rising engagement from men is partly being driven by younger consumers who are discovering skincare through social media and influencer-led content.,"Indias beauty and personal care (BPC) market is witnessing a steady rise in male shoppers, prompting ecommerce platforms and brands to expand assortments and tailor discovery experiences for this fas… [+4055 chars]",2026-03-05T14:46:02Z,2026-03-12 21:01:21.262020
Snapdeal,The Times of India,Laundry costlier than clothes! Snapdeal's Kunal Bahl shocked by hotel bill; says it’s time for quick commerce to step in,"Snapdeal co-founder Kunal Bahl highlighted hotels' disconnect with consumer expectations by sharing a Rs 5,900 laundry bill for seven basic garments. He questioned the high pricing, suggesting an opportunity for quick commerce laundry start-ups to cater to ev…","Kunal Bahl, co-founder of Snapdeal, has sparked debate online after sharing a hotel laundry bill of Rs 5,900 for just seven basic garments during a recent work trip.The Delhi-based entrepreneur descr… [+2288 chars]",2026-02-19T06:40:57Z,2026-03-12 21:01:22.150801
Snapdeal,Business Standard,CCPA fines Snapdeal ₹5 lakh for selling toys violating BIS standards,"The Central Consumer Protection Authority (CCPA) has imposed a penalty of Rs 5 lakh on e-commerce platform Snapdeal for selling toys that do not comply with mandatory Bureau of Indian Standards certification, violating the Toys (Quality Control) Order, 2020.
…",The Central Consumer Protection Authority (CCPA) has imposed a penalty of 5 lakh on e-commerce platform Snapdeal for selling toys that do not comply with mandatory Bureau of Indian Standards certific… [+1079 chars],2026-02-16T10:39:49Z,2026-03-12 21:01:22.150801
Snapdeal,BusinessLine,Snapdeal fined ₹5 lakh for selling toys violating BIS standards: CCPA,"Snapdeal fined ₹5 lakh by CCPA for selling non-compliant toys, facing scrutiny alongside Amazon and Flipkart for BIS violations.",The Central Consumer Protection Authority (CCPA) has imposed a penalty of Rs 5 lakh on e-commerce platform Snapdeal for selling toys that do not comply with mandatory Bureau of Indian Standards certi… [+958 chars],2026-02-16T10:21:05Z,2026-03-12 21:01:22.150801
Snapdeal,The Times of India,"ET Now GBS 2026: In 10 years, New-age Cos Should Form 10% of India's $15tn M-cap, says said Kunal Bahl, founder of Snapdeal","Kunal Bahl anticipates a surge of venture-backed startups entering India's public markets over the next decade, projecting new-age companies to contribute significantly to a potential $15 trillion market capitalization. He highlighted the substantial capital …","New Delhi: A steady pipeline of venture-backed startups is likely to tap India's public markets over the coming decade, said Kunal Bahl, co-founder of Titan Capital and founder of Snapdeal. These IPO… [+2636 chars]",2026-02-13T19:26:06Z,2026-03-12 21:01:22.150801
Snapdeal,Livemint,CCPA fines Snapdeal ₹5 lakh for selling non-BIS certified toys,The CCPA holds that marketplace platforms cannot evade accountability by claiming intermediary status when consumer safety is at stake.,"NEW DELHI
 : 
The Central Consumer Protection Authority (CCPA) has imposed a penalty of 5 lakh on Snapdeal (Ace Vector Ltd) for facilitating the sale of toys that did not conform to Bureau of India… [+4871 chars]",2026-02-13T14:39:28Z,2026-03-12 21:01:22.150801
Meesho,BusinessLine,"Flipkart completes reverse flip to India, clears path for domestic IPO","Flipkart's reverse flip to India clears the way for a domestic IPO, marking a significant milestone for the e-commerce giant.","E-commerce marketplace Flipkart has completed its reverse flip, shifting its domicile back to India from Singapore, paving the way for the Walmart-owned company to move ahead with its plans to list o… [+2682 chars]",2026-03-09T13:05:08Z,2026-03-12 21:01:23.174663
Meesho,The Times of India,"Meesho shares plunge 10% on Rs 1,500 crore tax demand; down 44% from Dec high","Shares of Meesho fell 10% to hit the lower circuit after the company revealed a Rs 1,500-crore tax demand from the Income Tax Department, nearly half of its Q3 operating revenue. The demand relates to the 2023-24 assessment year. Meesho said it disagrees with…","Shares of Meesho tumbled 10% to hit the lower circuit on Monday after the company disclosed it received a tax demand notice of Rs 1,500 crore from the Income Tax Departmentnearly half of its Q3 opera… [+2320 chars]",2026-03-09T09:03:34Z,2026-03-12 21:01:23.174663
Meesho,BusinessLine,"24 stocks in focus today: Tata Power, UltraTech Cement, Go Digit, RailTel, Lupin, Cipla, GAIL & more","Explore today’s stock market highlights featuring Tata Power, UltraTech Cement, RailTel, and major developments in various industries",The board of Samhi Hotels has approved a significant investment to acquire 70 per cent partnership interest and equivalent profit share in Rare India for 47.39 crore. Rare India is a New Delhi-based … [+10669 chars],2026-03-09T01:50:41Z,2026-03-12 21:01:23.174663
Meesho,BusinessLine,"Meesho receives ₹1,500 crore income tax demand for FY23; plans to challenge order","According to the filing, the Assessment Unit of the Income Tax Department issued an assessment order under Section 143(3) of the Income-tax Act, 1961, along with a demand notice under Section 156","Ecommerce marketplace Meesho has received an income tax demand of about 1,500 crore for the assessment year (AY) 202324, the company said in a stock exchange filing on March 7, adding that it will ch… [+1935 chars]",2026-03-07T13:58:46Z,2026-03-12 21:01:23.174663
Meesho,The Times of India,"Meesho gets Rs 1,500 crore tax demand for alleged under-reporting of income","Large tax disputes for ecommerce marketplaces usually arise from certain recurring issues, such as companies treating customer discounts and incentives as business expenses, thereby reducing taxable profits. In certain earlier cases, the tax authorities have …","Ecommerce marketplace Meesho, which went public in December, has received a tax demand of nearly Rs 1,500 crore from the income tax department for allegedly under-reporting its income for the financi… [+2720 chars]",2026-03-07T07:22:57Z,2026-03-12 21:01:23.174663
Meesho,The Times of India,"Meesho gets Rs 1,500 crore tax notice from I-T department","According to the Bengaluru-based ecommerce company, the demand arises from an assessment order under Section 143(3) of the Income Tax Act, along with a notice under Section 156, taking the total to Rs 1,499.7 crore, including interest. A similar demand had be…","Meesho, the Bengaluru-based ecommerce company, has received a tax demand of nearly Rs 1,500 crore from the Income Tax Department for the assessment year 2023-24, according to its filing with stock ex… [+1466 chars]",2026-03-07T07:22:57Z,2026-03-12 21:01:23.174663
Meesho,BusinessLine,"Amazon India expands zero referral fee to sub-₹1,000 products","Referral fees — commissions charged on each item sold, typically ranging between 2% and 16.5% — were waived last year for products priced below ₹300","Ecommerce major Amazon India is expanding its zero referral fee structure to cover products priced under Rs 1,000 across 1,800 categories, effective March 16, as it sharpens focus on value commerce a… [+1887 chars]",2026-03-02T07:13:48Z,2026-03-12 21:01:23.174663
Meesho,Livemint,"Amazon cuts seller fees, again; escalates fee war with Meesho, Flipkart","As the zero-commission model gains momentum in small towns and rural markets, Amazon is leaning on lower commissions for cheaper goods to attract small sellers to the platform.&nbsp;&nbsp;","Mumbai: Amazon India has waived seller commissions on all goods priced under 1,000, expanding a policy first introduced in April for products priced under 300. The e-commerce firm said the policy wil… [+4753 chars]",2026-03-01T20:30:42Z,2026-03-12 21:01:23.174663
Meesho,The Times of India,"Amazon India to remove seller fee for items under Rs 1,000 from mid-March","In April 2025, Amazon India had waived the seller referral fee for items below Rs 300. Now the company has expanded its zero referral fees from 1.2 crore products in 2025 to over 12.5 crore products.","Ecommerce major Amazon India is expanding its zero referral fee structure to products priced under Rs 1,000 and above Rs 300 across 1,800 categories, starting March 16. Additionally, there is a 20% r… [+2249 chars]",2026-03-01T20:30:00Z,2026-03-12 21:01:23.174663
Meesho,The Times of India,IIM Calcutta concludes final placements 2026 with average CTC at Rs 36 lakh; highest domestic offer at Rs 1.45 crore,"IIM Calcutta has completed final placements for its 61st MBA batch, with 458 students securing 542 offers from 202 recruiters, including 61 first-time participants. The highest domestic salary stood at Rs 1.45 crore, while the top international offer was Rs 1…","The Indian Institute of Management Calcutta (IIM Calcutta) has wrapped up final placements for the 61st batch of its flagship MBA programme, with 458 participating students securing 542 offers from 2… [+2852 chars]",2026-02-26T07:10:01Z,2026-03-12 21:01:23.174663
Ajio,The Drum,"Judge of the Day: Marketing must own the P&L, says Arpan Biswas","Judge of the Day: Marketing must own the P&L, says Arpan Biswasthedrum.com","For Reliance Ajios CMO, the future of marketing is measured in profitability, not just impressions.
Arpan Biswas leads brand, social, performance, content, PR and creative at Reliance Ajio. Over the… [+2853 chars]",2026-03-05T02:37:32Z,2026-03-12 21:01:23.568780
Ajio,GlobeNewswire,"Luxury Fashion Market Report Forecast and Company Analysis 2025-2033 Featuring Kering, Burberry, Dolce & Gabbana,. Giorgio Armani, Capri, LVMH, Prada, Chanel, Diesel, Industria de Diseno Textil","The global luxury fashion market is set for substantial growth, expanding from $257.45 billion in 2025 to $337.18 billion by 2033, at a CAGR of 3.43%. Factors propelling this growth include rising disposable incomes, changing consumer behaviors, and heightene…","Dublin, Feb. 24, 2026 (GLOBE NEWSWIRE) -- The ""Luxury Fashion Market Report by Product Type, Distribution Channel, End User, Countries and Company Analysis, 2025-2033"" has been added to ResearchAndMa… [+10784 chars]",2026-02-24T16:06:00Z,2026-03-12 21:01:23.568780
Ajio,The Times of India,Fractal Industries shares to list today. Check GMP ahead of debut,"Fractal Industries is poised for its BSE SME debut with modest listing gains expected around 3%. The Rs 49 crore IPO, fully subscribed 5.44 times, will fund working capital and corporate needs.  The garment manufacturer, serving major e-commerce platforms, re…","Fractal Industries is set to make its debut on the BSE SME platform on Tuesday with GMP indicating modest listing gains of around 3%. The Rs 49 crore IPO, which was entirely a fresh issue of 22,68,60… [+1979 chars]",2026-02-24T02:01:33Z,2026-03-12 21:01:23.568780
Ajio,The Times of India,"Fractal Industries IPO opens today. Check GMP, price band, subscription and other details","At the upper band of Rs 216, the IPO is commanding a pre-issue market cap of around Rs 169.5 crore. Shares are proposed to be listed on the BSE SME platform on February 23. The IPO is entirely a fresh issue of 22.68 lakh shares aggregating to Rs 49 crore. The…",The Rs 49 crore SME IPO of Fractal Industries will open for subscription on Monday with grey market premium (GMP) indicating a modest 2% upside over the upper end of the price band. The issue is pric… [+2840 chars],2026-02-16T02:01:20Z,2026-03-12 21:01:23.568780
Ajio,Business Standard,"Fractal Industries IPO opens on Feb 16: Check GMP, key dates, price band","Fractal Industries IPO is being offered at a price band of ₹205 to ₹216 per share, with a lot size of 600 shares","Fractal Industries IPO is being offered at a price band of 205 to 216 per share, with a lot size of 600 shares
Fractal Industries IPO
SI ReporterNew Delhi
Fractal Industries IPO: The initial publi… [+2882 chars]",2026-02-12T09:26:31Z,2026-03-12 21:01:23.568780
BigBasket,The Times of India,Qcomm sees brisk sale of induction stoves as people panic over LPG shortage,"Eternal-owned Blinkit is offering discounts of up to 72% on cooktops; most products are already out of stock and only limited options are still available. Similarly, Instamart is offering discounts of up to 60% on hobs, and some products are already sold out.…","Quick commerce platforms saw a spike in the sale of induction cooktops on Tuesday as panic buying set in over fears that gas supplies might run out, industry executives told ET.Eternal-owned Blinkit … [+1441 chars]",2026-03-10T13:56:52Z,2026-03-12 21:01:23.934903
BigBasket,Livefromalounge.com,"Axis Bank’s Airtel Credit Card Devalued: Lounge Access Removed, Cashback Structure Reworked from April 2026","The Airtel Axis Bank Credit Card has been sharply restructured, because all the benefits now depend on how much you spend on the card. Here are the details. 
The post Axis Bank’s Airtel Credit Card Devalued: Lounge Access Removed, Cashback Structure Reworked …","Axis Bank has announced a set of changes to the Airtel Axis Bank Credit Card, altering the cashback mechanics and removing airport lounge access entirely. The changes will take effect on April 12, 20… [+4434 chars]",2026-03-10T04:35:54Z,2026-03-12 21:01:23.934903
BigBasket,The Times of India,Gulf crisis weighs on hyperscalers; Instahelp faces investor reckoning,Happy Monday! Hyperscalers are seeking a safe haven for data centre ops outside of West Asia. This and more in today’s ETtech Morning Dispatch.,Happy Monday! Hyperscalers are seeking safe havens for data centre ops outside of West Asia. This and more in todays ETtech Morning Dispatch. Also in the letter: Qcomms match-day economicsEasebuzz in… [+6829 chars],2026-03-09T01:36:21Z,2026-03-12 21:01:23.934903
BigBasket,The Times of India,"T20 final, Women’s Day drive sales for quick commerce, food delivery apps","Zomato started a three-day weekend offer for the match beginning on Friday, while Swiggy launched a 'Rs 75 cash back' offer and 'predict and win' games for Sunday. Quick commerce apps like Zepto, Amazon Now, Blinkit, Instamart, BigBasket and Flipkart Minutes …","Online food and quick commerce platforms saw a surge in orders during the Mens T20 World Cup final match Sunday, as fans remained glued to the screens as India decimated New Zealand.Quick commerce ap… [+3602 chars]",2026-03-09T00:30:00Z,2026-03-12 21:01:23.934903
BigBasket,The Times of India,"Meet Muhammad Aziz, the bank official feeding hundreds daily outside Hyderabad’s NIMS hospital","Muhammad Aziz, a bank official, has been a beacon of hope for the needy for nearly ten years. He distributes hundreds of food packets daily outside NIMS Hospital in Hyderabad. What began as a small effort with his mother has blossomed into a large-scale opera…","Muhammad Aziz, a bank official who heads the Telangana and Andhra Pradesh regions of his department, has been distributing food daily outside NIMS Hospital in Hyderabad for nearly a decade. Driven by… [+4025 chars]",2026-03-08T15:13:26Z,2026-03-12 21:01:23.934903
BigBasket,Livemint,"Data, design and dosa batter: How Instamart is turning your 10-min craving into a private label empire","Private labels are usually invisible and price-led. But Swiggy Instamart wants them to be visible and aspirational. By blending hyperlocal data with bold design, Swiggy’s Instamart is trying to build an FMCG food and beverages brand within its delivery app ec…","It didnt look like a typical grocery brand at all. It felt more like something youd pick up at a boutique food store, Anupama told Mint. Price was not a factor but the presentation on the screen defi… [+13065 chars]",2026-03-08T11:30:27Z,2026-03-12 21:01:23.934903
BigBasket,The Times of India,"iPhone 16 pro, iPhone 16 Plus and iPhone 16 available at up to Rs 18,000 discount, no specific cards or exchange scheme needed","The iPhone 16 series is currently seeing notable price drops in India, with the iPhone 16 Pro, iPhone 16 Plus and the standard iPhone 16 available at discounts of up to ₹18,000 across major retailers. The deals bring the price of the iPhone 16 Plus down to ar…","Several models of the iPhone 16 series are currently available at noticeably lower prices in India, with sellers rolling out straightforward discounts that do not require special bank cards or exchan… [+3125 chars]",2026-03-08T09:55:08Z,2026-03-12 21:01:23.934903
BigBasket,The Times of India,No change in Tata Trustees’ support for N Chandrasekaran,"Tata trustees have confirmed their unanimous approval for N Chandrasekaran's reappointment as Tata Sons chairman. This decision remains valid despite recent board discussions. Trustees expressed confidence in his leadership, emphasizing group stability. New v…",Mumbai: Tata trustees have said the unanimous resolutions passed in July 2025 by the Sir Ratan Tata Trust and the Sir Dorabjee Tata Trust approving a fresh term for Tata Sons chairman N Chandrasekara… [+3798 chars],2026-03-02T00:00:00Z,2026-03-12 21:01:23.934903
BigBasket,The Times of India,"Noel Tata, board clash on term three for Chandrasekaran; issue deferred","Tata Sons chairman N Chandrasekaran sought to postpone his reappointment for a third term. A board meeting revealed differing views, notably from Tata Trusts chairman Noel Tata. Concerns were raised about the performance of group businesses like Air India and…","Tata Sons executive chairman N Chandrasekaran asked the board to defer consideration of his reappointment for a third term after differences emerged at a meeting on Tuesday, people aware of deliberat… [+5902 chars]",2026-02-24T22:30:00Z,2026-03-12 21:01:23.934903
